code,faction,name,folder,unitgroup,buildtime,metalcost,energycost,health,speed,maxacc,maxdec,maxslope,maxwaterdepth,sightdistance,turnrate,turninplace,canmove,techlevel,n_weapons,best_dps,total_dps,max_range,min_range,max_aoe,has_aa,has_anti_sub,has_paralyzer,wt_cannon,wt_beamlaser,wt_lasercannon,wt_missilelauncher,wt_starburstlauncher,wt_torpedolauncher,wt_emgcannon,wt_aircraftbomb,wt_flame,wt_dgun,wt_shield,wt_other
armaca,Armada,Advanced Construction Aircraft,ArmAircraft,buildert2,22000.0,340.0,12000.0,200.0,192.0,0.07,0.4275,10.0,0,430.0,240.0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armatlas,Armada,Stork,ArmAircraft,,3850.0,68.0,1300.0,265.0,207.0,0.1,0.75,10.0,0,430.0,550.0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armawac,Armada,Oracle,ArmAircraft,util,16000.0,175.0,8600.0,890.0,317.39999,0.1575,0.05,10.0,0,1275.0,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armblade,Armada,Hornet,ArmAircraft,weapon,32000.0,1250.0,22000.0,3000.0,204.0,0.6,0.35,10.0,0,624.0,720.0,0,1,2,1,83.82,83.82,420.0,420.0,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
armbrawl,Armada,Roughneck,ArmAircraft,weapon,17000.0,310.0,6200.0,1780.0,160.8,0.24,0.44,10.0,0,550.0,800.0,0,1,2,1,26.67,26.67,380.0,380.0,40.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armca,Armada,Construction Aircraft,ArmAircraft,builder,7960.0,110.0,3000.0,156.0,208.2,0.07,0.4275,10.0,0,430.0,240.0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armdfly,Armada,Abductor,ArmAircraft,emp,19000.0,320.0,6600.0,1170.0,225.0,0.2,0.625,15.0,0,430.0,420.0,0,1,2,1,1312.5,1312.5,520.0,520.0,32.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
armfig,Armada,Falcon,ArmAircraft,aa,3500.0,73.0,2900.0,167.0,289.20001,0.1825,0.075,10.0,0,430.0,0,0,1,1,1,138.89,138.89,680.0,680.0,8.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
armhawk,Armada,Highwind,ArmAircraft,aa,10500.0,140.0,5700.0,370.0,358.79999,0.2325,0.01125,10.0,0,430.0,0,0,1,2,1,535.71,535.71,740.0,740.0,8.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
armhvytrans,Armada,Osprey,ArmAircraft,,8500.0,190.0,4000.0,630.0,110.0,0.1,0.75,10.0,0,430.0,550.0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
