code,faction,name,folder,unitgroup,buildtime,metalcost,energycost,health,speed,maxacc,maxdec,maxslope,maxwaterdepth,sightdistance,turnrate,turninplace,canmove,techlevel,n_weapons,best_dps,total_dps,max_range,min_range,max_aoe,has_aa,has_anti_sub,has_paralyzer,wt_cannon,wt_beamlaser,wt_lasercannon,wt_missilelauncher,wt_starburstlauncher,wt_torpedolauncher,wt_emgcannon,wt_aircraftbomb,wt_flame,wt_dgun,wt_shield,wt_other
armaak,Armada,Archangel,ArmBots,aa,10000.0,520.0,5600.0,2200.0,47.4,0.138,0.6486,14.0,0,400.0,1174.15002,1,1,2,2,142.86,242.86,1200.0,880.0,24.0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
armamph,Armada,Platypus,ArmBots,weaponaa,7000.0,260.0,2700.0,1170.0,90.0,0.138,0.6486,14.0,0,377.0,506.0,1,1,2,2,109.09,151.95,600.0,275.0,48.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
armfast,Armada,Sprinter,ArmBots,weapon,5000.0,160.0,3800.0,690.0,111.3,0.414,1.29375,17.0,12.0,351.0,1644.5,1,1,2,1,24.0,24.0,220.0,220.0,16.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armfboy,Armada,Fatboy,ArmBots,weapon,28000.0,1400.0,15000.0,7800.0,30.0,0.138,0.43125,20.0,25.0,510.0,368.0,1,1,2,1,114.29,114.29,700.0,700.0,300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armfido,Armada,Hound,ArmBots,weapon,6230.0,285.0,6300.0,1280.0,69.0,0.138,1.29375,14.0,12.0,400.0,1138.5,1,1,2,1,80.53,80.53,650.0,650.0,72.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armflea,Armada,Tick,ArmBots,weapon,800.0,21.0,300.0,60.0,132.0,0.575,1.725,255.0,16.0,600.0,1807.0,1,1,1,1,40.0,40.0,140.0,140.0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
armham,Armada,Mace,ArmBots,weapon,2200.0,130.0,1300.0,1000.0,46.2,0.138,0.77625,14.0,12.0,380.0,1258.09998,1,1,1,1,60.0,60.0,380.0,380.0,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armjeth,Armada,Crossbow,ArmBots,aa,1830.0,125.0,1100.0,630.0,56.25,0.138,0.6486,15.0,0,377.0,1285.69995,1,1,1,2,55.0,55.0,800.0,760.0,48.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
armmav,Armada,Gunslinger,ArmBots,weapon,17000.0,650.0,11000.0,1560.0,49.5,0.138,0.43125,14.0,0,550.0,1285.69995,1,1,2,1,265.0,265.0,365.0,365.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armpw,Armada,Pawn,ArmBots,weapon,1650.0,54.0,900.0,370.0,87.0,0.414,0.69,17.0,12.0,429.0,1214.40002,1,1,1,1,30.0,30.0,180.0,180.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
armrock,Armada,Rocketeer,ArmBots,weapon,2010.0,120.0,1000.0,720.0,50.7,0.138,0.6486,14.0,12.0,338.0,1271.90002,1,1,1,1,41.32,41.32,475.0,475.0,48.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
armscab,Armada,Umbrella,ArmBots,antinuke,49000.0,1150.0,30000.0,870.0,51.0,0.03663,0.07326,10.0,0,450.0,473.0,1,1,2,1,250.0,250.0,72000.0,72000.0,420.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
