code,faction,name,folder,unitgroup,movementclass,buildtime,metalcost,energycost,health,speed,maxacc,maxdec,maxslope,maxwaterdepth,sightdistance,turnrate,turninplace,canmove,techlevel,mc_BOT,mc_ABOT,mc_TANK,mc_ATANK,mc_HOVER,mc_COMMANDER,mc_OTHER,n_weapons,best_dps,total_dps,max_range,min_range,max_aoe,has_aa,has_anti_sub,has_paralyzer,weapon_velocity,damage_vs_air,trajectory_high,wt_cannon,wt_beamlaser,wt_lasercannon,wt_missilelauncher,wt_starburstlauncher,wt_torpedolauncher,wt_emgcannon,wt_aircraftbomb,wt_flame,wt_dgun,wt_shield,wt_other,range_per_speed,dps_per_metal,health_per_metal,range_tier,weapon_velocity_low
armaak,Armada,Archangel,ArmBots,aa,ABOT3,10000.0,520.0,5600.0,2200.0,47.4,0.138,0.6486,14.0,0,400.0,1174.15002,1,1,2,0,1,0,0,0,0,0,2,142.86,242.86,1200.0,880.0,24.0,1,0,0,1000.0,1.0,0,0,0,0,2,0,0,0,0,0,0,0,0,25.316,0.2747,4.231,2,0
armamph,Armada,Platypus,ArmBots,weaponaa,AHOVER2,7000.0,260.0,2700.0,1170.0,90.0,0.138,0.6486,14.0,0,377.0,506.0,1,1,2,0,0,0,0,1,0,0,2,109.09,151.95,600.0,275.0,48.0,1,0,0,850.0,0.417,0,0,1,0,1,0,0,0,0,0,0,0,0,6.667,0.4196,4.5,1,0
armfast,Armada,Sprinter,ArmBots,weapon,BOT3,5000.0,160.0,3800.0,690.0,111.3,0.414,1.29375,17.0,12.0,351.0,1644.5,1,1,2,1,0,0,0,0,0,0,1,24.0,24.0,220.0,220.0,16.0,0,0,0,600.0,0.333,0,1,0,0,0,0,0,0,0,0,0,0,0,1.977,0.15,4.312,0,0
armfboy,Armada,Fatboy,ArmBots,weapon,HBOT4,28000.0,1400.0,15000.0,7800.0,30.0,0.138,0.43125,20.0,25.0,510.0,368.0,1,1,2,1,0,0,0,0,0,0,1,114.29,114.29,700.0,700.0,300.0,0,0,0,307.0,0.139,0,1,0,0,0,0,0,0,0,0,0,0,0,23.333,0.0816,5.571,1,1
armfido,Armada,Hound,ArmBots,weapon,BOT3,6230.0,285.0,6300.0,1280.0,69.0,0.138,1.29375,14.0,12.0,400.0,1138.5,1,1,2,1,0,0,0,0,0,0,1,80.53,80.53,650.0,650.0,72.0,0,0,0,340.0,0.137,0,1,0,0,0,0,0,0,0,0,0,0,0,9.42,0.2826,4.491,1,1
armflea,Armada,Tick,ArmBots,weapon,SBOT2,800.0,21.0,300.0,60.0,132.0,0.575,1.725,255.0,16.0,600.0,1807.0,1,1,1,1,0,0,0,0,0,0,1,40.0,40.0,140.0,140.0,8.0,0,0,0,600.0,0.083,0,0,1,0,0,0,0,0,0,0,0,0,0,1.061,1.9048,2.857,0,0
armham,Armada,Mace,ArmBots,weapon,BOT3,2200.0,130.0,1300.0,1000.0,46.2,0.138,0.77625,14.0,12.0,380.0,1258.09998,1,1,1,1,0,0,0,0,0,0,1,60.0,60.0,380.0,380.0,36.0,0,0,0,286.0,0.202,0,1,0,0,0,0,0,0,0,0,0,0,0,8.225,0.4615,7.692,0,1
armjeth,Armada,Crossbow,ArmBots,aa,ABOT3,1830.0,125.0,1100.0,630.0,56.25,0.138,0.6486,15.0,0,377.0,1285.69995,1,1,1,0,1,0,0,0,0,0,2,55.0,55.0,800.0,760.0,48.0,1,0,0,850.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,14.222,0.44,5.04,1,0
armmav,Armada,Gunslinger,ArmBots,weapon,BOT3,17000.0,650.0,11000.0,1560.0,49.5,0.138,0.43125,14.0,0,550.0,1285.69995,1,1,2,1,0,0,0,0,0,0,1,265.0,265.0,365.0,365.0,8.0,0,0,0,500.0,0.245,0,1,0,0,0,0,0,0,0,0,0,0,0,7.374,0.4077,2.4,0,1
armpw,Armada,Pawn,ArmBots,weapon,BOT2,1650.0,54.0,900.0,370.0,87.0,0.414,0.69,17.0,12.0,429.0,1214.40002,1,1,1,1,0,0,0,0,0,0,1,30.0,30.0,180.0,180.0,8.0,0,0,0,600.0,0.333,0,1,0,0,0,0,0,0,0,0,0,0,0,2.069,0.5556,6.852,0,0
